ID;Наименование;Родитель;Категория;"Группа дочернего товара";Цена;"Акционная цена";Валюта;Артикул;"Единица измерения";"В упаковке";"На складе";"Акционный товар";"Рекомендованный товар";"Горячее предложение";Новинка;"Краткое описание";Описание;Производитель;Страна;"В комплекте";"Сопутствующие товары";Тэги;Фотографии;Цвет;Материал;Размер;Механизм;Напряжение;Синхронизация;Грузоподъемность;"Тип подъемника";Варианты
69;"WERTHER TITANIUM1000 Шиномонтажный стенд 13""-27"" грузовой";;"Шиномонтажное оборудование;Шиномонтажное оборудование:Шиномонтажные станки";;0;0;Евро;"TITANIUM 1000";штука;0.0000;1;0;0;0;0;"<p><strong>Шиномонтажный стенд для грузовых автомобилей 13""-27""</strong></p>";"<table border=""0"" cellspacing=""0"" cellpadding=""0"">
<tbody>
<tr>
<td><strong>Технические характеристики:</strong></td>
<td>&nbsp;</td>
<td>&nbsp;</td>
</tr>
<tr>
<td>• диапазон зажима:&nbsp;</td>
<td>13""-27""&nbsp;</td>
<td>&nbsp;</td>
</tr>
<tr>
<td>• макс. диаметр колеса:&nbsp;</td>
<td>1600 мм. (63"")</td>
<td>&nbsp;</td>
</tr>
<tr>
<td>• макс. ширина колеса:&nbsp;</td>
<td>780 мм. (31"")</td>
<td>&nbsp;</td>
</tr>
<tr>
<td>• макс. вес колеса:&nbsp;</td>
<td>1270 кг.</td>
<td>&nbsp;</td>
</tr>
<tr>
<td>• электродвигатель гидростанции:&nbsp;</td>
<td>1,1 кВт</td>
<td>&nbsp;</td>
</tr>
<tr>
<td>• электродвигатель редуктора:&nbsp;</td>
<td>1,3 - 1,8 кВт&nbsp;</td>
<td>&nbsp;</td>
</tr>
<tr>
<td>• рабочее давление в гидростанции:&nbsp;</td>
<td>0 - 130 bar.</td>
<td>&nbsp;</td>
</tr>
<tr>
<td>• усилие отжима:&nbsp;</td>
<td>1500 кг.</td>
<td>&nbsp;</td>
</tr>
<tr>
<td>• электропитание:&nbsp;</td>
<td>380В / 50Гц</td>
<td>&nbsp;</td>
</tr>
<tr>
<td>&nbsp;</td>
<td>&nbsp;</td>
<td>&nbsp;</td>
</tr>
<tr>
<td><strong>Опции:</strong></td>
<td>&nbsp;</td>
<td>&nbsp;</td>
</tr>
<tr>
<td colspan=""3"">H907 – Ролик для бескамерных шин</td>
</tr>
<tr>
<td colspan=""3"">H991 – Комплект насадок для работы с алюминиевыми дисками</td>
</tr>
<tr>
<td colspan=""3"">H992 – Зажим для легкосплавных дисков</td>
</tr>
</tbody>
</table>";WERTHER;Италия;;;;1549956972,1496.jpg;;;;;;;;;
70;"WERTHER TITANIUM2000 Шиномонтажный стенд 14""-46"" для колес грузовых автомобилей.";;"Шиномонтажное оборудование;Шиномонтажное оборудование:Шиномонтажные станки";;0;0;Евро;"TITANIUM 2000";штука;0.0000;1;0;0;0;0;"<p><strong>Шиномонтажный станок для грузовых автомобилей, 14""-46""</strong></p>";"<table border=""0"" cellspacing=""0"" cellpadding=""0"">
<tbody>
<tr>
<td><strong>Технические характеристики:</strong></td>
<td><strong>TITANIUM 2000&nbsp;</strong></td>
<td>TITANIUM 3000&nbsp;</td>
</tr>
<tr>
<td>• диапазон зажима:&nbsp;</td>
<td>14""-46""&nbsp;</td>
<td>14""-46""&nbsp;</td>
</tr>
<tr>
<td>• макс. диаметр колеса:&nbsp;</td>
<td>2300 мм. (90"")</td>
<td>2400 мм. (94"")</td>
</tr>
<tr>
<td>• макс. ширина колеса:&nbsp;</td>
<td>1065 мм. (41"")</td>
<td>1300 мм. (51"")</td>
</tr>
<tr>
<td>• макс. вес колеса:&nbsp;</td>
<td>1500 кг.</td>
<td>1580 кг.</td>
</tr>
<tr>
<td>• электродвигатель гидростанции:&nbsp;</td>
<td>1,1 кВт&nbsp;</td>
<td>2,2 кВт&nbsp;</td>
</tr>
<tr>
<td>• электродвигатель редуктора:&nbsp;</td>
<td>1,3 - 1,8 кВт&nbsp;</td>
<td>2,6 - 3,2 кВт&nbsp;</td>
</tr>
<tr>
<td>• рабочее давление в гидростанции:&nbsp;</td>
<td>0 - 130 bar.</td>
<td>0 - 130 bar.</td>
</tr>
<tr>
<td>• усилие отжима:&nbsp;</td>
<td>2690 / 1630 кг.</td>
<td>2690&nbsp; кг.</td>
</tr>
<tr>
<td>• электропитание:&nbsp;</td>
<td>380В / 50Гц</td>
<td>380В / 50Гц</td>
</tr>
<tr>
<td>&nbsp;</td>
<td>&nbsp;</td>
<td>&nbsp;</td>
</tr>
<tr>
<td><strong>Опции:</strong></td>
<td>&nbsp;</td>
<td>&nbsp;</td>
</tr>
<tr>
<td colspan=""3"">H904 – Ролик для бескамерных шин</td>
</tr>
<tr>
<td colspan=""3"">H992 – Зажим для легкосплавных дисков</td>
</tr>
<tr>
<td colspan=""3"">H993 – Комплект насадок для работы с алюминиевыми дисками</td>
</tr>
<tr>
<td colspan=""3"">H924 – Комплект (4 шт.) для увеличения захвата до 56""&nbsp;</td>
</tr>
</tbody>
</table>";WERTHER;Италия;;;;1549956972,0889.jpg;;;;;;;;;
71;"WERTHER TITANIUM100/22 Шиномонтажный стенд 11""-24"" (полуавтомат)";;"Шиномонтажное оборудование;Шиномонтажное оборудование:Шиномонтажные станки";;0;0;Евро;TITANIUM100/22;штука;0.0000;1;0;0;0;0;"<p><strong>Шиномонтажный станок 11""-24""</strong></p>
<p><strong>Две скорости вращения рабочего стола</strong></p>";"<table border=""0"" cellspacing=""0"" cellpadding=""0"">
<tbody>
<tr>
<td><strong>ехнические характеристики:</strong></td>
<td><strong>TITANIUM 100/22</strong></td>
<td>TITANIUM 200/22</td>
<td>TITANIUM 300/24 IT</td>
</tr>
<tr>
<td>• тип станка:&nbsp;</td>
<td><strong>полуавтомат.</strong></td>
<td>автомат</td>
<td>автомат</td>
</tr>
<tr>
<td>• взрывная подкачка:&nbsp;</td>
<td><strong>---</strong></td>
<td>---</td>
<td>да</td>
</tr>
<tr>
<td>• устройство ""3-я рука""&nbsp; (опция):&nbsp;</td>
<td><strong>---</strong></td>
<td>да</td>
<td>да</td>
</tr>
<tr>
<td>• размер диска (снаружи):&nbsp;</td>
<td><strong>11""-22""&nbsp;</strong></td>
<td>11""-22""&nbsp;</td>
<td>11""-22""&nbsp;</td>
</tr>
<tr>
<td>• размер диска (изнутри):</td>
<td><strong>13""-24""&nbsp;</strong></td>
<td>13""-24""&nbsp;</td>
<td>13""-24""&nbsp;</td>
</tr>
<tr>
<td>• макс. диаметр колеса:</td>
<td><strong>1000 мм (39"")</strong></td>
<td>1000 мм (39"")</td>
<td>1000 мм (39"")</td>
</tr>
<tr>
<td>• макс. ширина колеса:</td>
<td><strong>330 мм (13"")</strong></td>
<td>330 мм (13"")</td>
<td>350 мм (15"")</td>
</tr>
<tr>
<td>• рабочее давление:&nbsp;</td>
<td><strong>8 bar.</strong></td>
<td>8 bar.</td>
<td>8 bar.</td>
</tr>
<tr>
<td>• усилие отжима:&nbsp;</td>
<td><strong>2500 кг.</strong></td>
<td>2500 кг.</td>
<td>2500 кг.</td>
</tr>
<tr>
<td>• электропитание:&nbsp;</td>
<td><strong>380В / 50Гц&nbsp;</strong></td>
<td>380В / 50Гц&nbsp;</td>
<td>380В / 50Гц&nbsp;</td>
</tr>
<tr>
<td>• мощность электродвигателя:</td>
<td><strong>0,8-1,1кВт</strong></td>
<td>0,8-1,1кВт</td>
<td>0,8-1,1кВт</td>
</tr>
<tr>
<td>• вес:</td>
<td><strong>190 кг.</strong></td>
<td>230 кг.</td>
<td>290 кг.</td>
</tr>
<tr>
<td>• габаритные размеры (в упаковке):</td>
<td><strong>995х760х950 мм.</strong></td>
<td>995х760х950 мм.</td>
<td>1120х920х1080 мм.</td>
</tr>
<tr>
<td>&nbsp;</td>
<td>&nbsp;</td>
<td>&nbsp;</td>
<td>&nbsp;</td>
</tr>
<tr>
<td><strong>Комплектация:</strong></td>
<td>&nbsp;</td>
<td>&nbsp;</td>
<td>&nbsp;</td>
</tr>
<tr>
<td colspan=""2"">• блок подготовки воздуха</td>
<td>&nbsp;</td>
<td>&nbsp;</td>
</tr>
<tr>
<td colspan=""2"">• монтажная лопатка</td>
<td>&nbsp;</td>
<td>&nbsp;</td>
</tr>
<tr>
<td colspan=""2"">• пистолет для подкачки шин с манометром</td>
<td>&nbsp;</td>
<td>&nbsp;</td>
</tr>
<tr>
<td colspan=""2"">• пластиковые накладки на кулачки стола</td>
<td>&nbsp;</td>
<td>&nbsp;</td>
</tr>
<tr>
<td colspan=""2"">• пластиковая насадка на отжимное устройство</td>
<td>&nbsp;</td>
<td>&nbsp;</td>
</tr>
<tr>
<td colspan=""2"">• пластиковая вставка в рабочую головку</td>
<td>&nbsp;</td>
<td>&nbsp;</td>
</tr>
<tr>
<td colspan=""2"">• пластиковая накладка на монтировку</td>
<td>&nbsp;</td>
<td>&nbsp;</td>
</tr>
<tr>
<td>&nbsp;</td>
<td>&nbsp;</td>
<td>&nbsp;</td>
<td>&nbsp;</td>
</tr>
<tr>
<td colspan=""4""><strong>Опции:</strong></td>
</tr>
<tr>
<td colspan=""4"">H929 - Пластиковая вставка в рабочую головку (10 шт.)&nbsp;</td>
</tr>
<tr>
<td colspan=""4"">H930 - Пластиковые вставки на кулачки рабочего стола для внешнего зажима колёс (10 шт.)&nbsp;</td>
</tr>
<tr>
<td colspan=""4"">H931 - Пластиковые накладки на кулачки рабочего стола (8 шт.)&nbsp;</td>
</tr>
<tr>
<td colspan=""4"">H932 - Пластиковая насадка монтировку (2 шт.)&nbsp;</td>
</tr>
<tr>
<td colspan=""4"">H933 - Пластиковая насадка на отжимное устройство (4 шт.)&nbsp;</td>
</tr>
<tr>
<td colspan=""4"">H915 - Комплект зажимов для работы с мотоциклетными дисками 6""-23""&nbsp;</td>
</tr>
</tbody>
</table>";WERTHER;Италия;;;;1549956972,1575.jpg;Красный;;;;;;;;
72;"WERTHER TITANIUM200/22 Шиномонтажный стенд 11""-24"" (автомат)";;"Шиномонтажное оборудование;Шиномонтажное оборудование:Шиномонтажные станки";;0;0;Евро;TITANIUM200/22;штука;0.0000;1;0;0;0;0;"<p><strong>Шиномонтажный станок 11""-24""</strong></p>
<p><strong>Две скорости вращения рабочего стола</strong></p>";"<table border=""0"" cellspacing=""0"" cellpadding=""0"">
<tbody>
<tr>
<td><strong>Технические характеристики:</strong></td>
<td>TITANIUM 100/22</td>
<td><strong>TITANIUM 200/22</strong></td>
<td>TITANIUM 300/24 IT</td>
</tr>
<tr>
<td>• тип станка:&nbsp;</td>
<td>полуавтомат.</td>
<td><strong>автомат</strong></td>
<td>автомат</td>
</tr>
<tr>
<td>• взрывная подкачка:&nbsp;</td>
<td>---</td>
<td><strong>---</strong></td>
<td>да</td>
</tr>
<tr>
<td>• устройство ""3-я рука""&nbsp; (опция):&nbsp;</td>
<td>---</td>
<td><strong>да</strong></td>
<td>да</td>
</tr>
<tr>
<td>• размер диска (снаружи):&nbsp;</td>
<td>11""-22""&nbsp;</td>
<td><strong>11""-22""&nbsp;</strong></td>
<td>11""-22""&nbsp;</td>
</tr>
<tr>
<td>• размер диска (изнутри):</td>
<td>13""-24""&nbsp;</td>
<td><strong>13""-24""&nbsp;</strong></td>
<td>13""-24""&nbsp;</td>
</tr>
<tr>
<td>• макс. диаметр колеса:</td>
<td>1000 мм (39"")</td>
<td><strong>1000 мм (39"")</strong></td>
<td>1000 мм (39"")</td>
</tr>
<tr>
<td>• макс. ширина колеса:</td>
<td>330 мм (13"")</td>
<td><strong>330 мм (13"")</strong></td>
<td>350 мм (15"")</td>
</tr>
<tr>
<td>• рабочее давление:&nbsp;</td>
<td>8 bar.</td>
<td><strong>8 bar.</strong></td>
<td>8 bar.</td>
</tr>
<tr>
<td>• усилие отжима:&nbsp;</td>
<td>2500 кг.</td>
<td><strong>2500 кг.</strong></td>
<td>2500 кг.</td>
</tr>
<tr>
<td>• электропитание:&nbsp;</td>
<td>380В / 50Гц&nbsp;</td>
<td><strong>380В / 50Гц&nbsp;</strong></td>
<td>380В / 50Гц&nbsp;</td>
</tr>
<tr>
<td>• мощность электродвигателя:</td>
<td>0,8-1,1кВт</td>
<td><strong>0,8-1,1кВт</strong></td>
<td>0,8-1,1кВт</td>
</tr>
<tr>
<td>• вес:</td>
<td>190 кг.</td>
<td><strong>230 кг.</strong></td>
<td>290 кг.</td>
</tr>
<tr>
<td>• габаритные размеры (в упаковке):</td>
<td>995х760х950 мм.</td>
<td><strong>995х760х950 мм.</strong></td>
<td>1120х920х1080 мм.</td>
</tr>
<tr>
<td>&nbsp;</td>
<td>&nbsp;</td>
<td>&nbsp;</td>
<td>&nbsp;</td>
</tr>
<tr>
<td><strong>Комплектация:</strong></td>
<td>&nbsp;</td>
<td>&nbsp;</td>
<td>&nbsp;</td>
</tr>
<tr>
<td colspan=""2"">• блок подготовки воздуха</td>
<td>&nbsp;</td>
<td>&nbsp;</td>
</tr>
<tr>
<td colspan=""2"">• монтажная лопатка</td>
<td>&nbsp;</td>
<td>&nbsp;</td>
</tr>
<tr>
<td colspan=""2"">• пистолет для подкачки шин с манометром</td>
<td>&nbsp;</td>
<td>&nbsp;</td>
</tr>
<tr>
<td colspan=""2"">• пластиковые накладки на кулачки стола</td>
<td>&nbsp;</td>
<td>&nbsp;</td>
</tr>
<tr>
<td colspan=""2"">• пластиковая насадка на отжимное устройство</td>
<td>&nbsp;</td>
<td>&nbsp;</td>
</tr>
<tr>
<td colspan=""2"">• пластиковая вставка в рабочую головку</td>
<td>&nbsp;</td>
<td>&nbsp;</td>
</tr>
<tr>
<td colspan=""2"">• пластиковая накладка на монтировку</td>
<td>&nbsp;</td>
<td>&nbsp;</td>
</tr>
<tr>
<td>&nbsp;</td>
<td>&nbsp;</td>
<td>&nbsp;</td>
<td>&nbsp;</td>
</tr>
<tr>
<td colspan=""4""><strong>Опции:</strong></td>
</tr>
<tr>
<td colspan=""4"">H647 - Assistant H Устройство для работы с низкопрофильными шинами ""3-я рука""</td>
</tr>
<tr>
<td colspan=""4"">H929 - Пластиковая вставка в рабочую головку (10 шт.)&nbsp;</td>
</tr>
<tr>
<td colspan=""4"">H930 - Пластиковые вставки на кулачки рабочего стола для внешнего зажима колёс (10 шт.)&nbsp;</td>
</tr>
<tr>
<td colspan=""4"">H931 - Пластиковые накладки на кулачки рабочего стола (8 шт.)&nbsp;</td>
</tr>
<tr>
<td colspan=""4"">H932 - Пластиковая насадка монтировку (2 шт.)&nbsp;</td>
</tr>
<tr>
<td colspan=""4"">H933 - Пластиковая насадка на отжимное устройство (4 шт.)&nbsp;</td>
</tr>
<tr>
<td colspan=""4"">H915 - Комплект зажимов для работы с мотоциклетными дисками 6""-23""&nbsp;</td>
</tr>
</tbody>
</table>";WERTHER;Италия;;;;1549956972,1651.jpg;Красный;;;;;;;;
73;"WERTHER TITANIUM300/24IT Шиномонтажный стенд 11""-24"" (автомат / взрывная подкачка)";;"Шиномонтажное оборудование;Шиномонтажное оборудование:Шиномонтажные станки";;0;0;Евро;TITANIUM300/24IT;штука;0.0000;1;0;0;0;0;"<p><strong>Шиномонтажный станок 11""-24""&nbsp;</strong></p>
<p><strong>Две скорости вращения рабочего стола</strong></p>
<p>&nbsp;</p>";"<table border=""0"" cellspacing=""0"" cellpadding=""0"">
<tbody>
<tr>
<td><strong>Технические характеристики:</strong></td>
<td>TITANIUM 100/22</td>
<td>TITANIUM 200/22</td>
<td><strong>TITANIUM 300/24 IT</strong></td>
</tr>
<tr>
<td>• тип станка:&nbsp;</td>
<td>полуавтомат.</td>
<td>автомат</td>
<td><strong>автомат</strong></td>
</tr>
<tr>
<td>• взрывная подкачка:&nbsp;</td>
<td>---</td>
<td>---</td>
<td><strong>да</strong></td>
</tr>
<tr>
<td>• устройство ""3-я рука""&nbsp; (опция):&nbsp;</td>
<td>---</td>
<td>да</td>
<td><strong>да</strong></td>
</tr>
<tr>
<td>• размер диска (снаружи):&nbsp;</td>
<td>11""-22""&nbsp;</td>
<td>11""-22""&nbsp;</td>
<td><strong>11""-22""&nbsp;</strong></td>
</tr>
<tr>
<td>• размер диска (изнутри):</td>
<td>13""-24""&nbsp;</td>
<td>13""-24""&nbsp;</td>
<td><strong>13""-24""&nbsp;</strong></td>
</tr>
<tr>
<td>• макс. диаметр колеса:</td>
<td>1000 мм (39"")</td>
<td>1000 мм (39"")</td>
<td><strong>1000 мм (39"")</strong></td>
</tr>
<tr>
<td>• макс. ширина колеса:</td>
<td>330 мм (13"")</td>
<td>330 мм (13"")</td>
<td><strong>350 мм (15"")</strong></td>
</tr>
<tr>
<td>• рабочее давление:&nbsp;</td>
<td>8 bar.</td>
<td>8 bar.</td>
<td><strong>8 bar.</strong></td>
</tr>
<tr>
<td>• усилие отжима:&nbsp;</td>
<td>2500 кг.</td>
<td>2500 кг.</td>
<td><strong>2500 кг.</strong></td>
</tr>
<tr>
<td>• электропитание:&nbsp;</td>
<td>380В / 50Гц&nbsp;</td>
<td>380В / 50Гц&nbsp;</td>
<td><strong>380В / 50Гц&nbsp;</strong></td>
</tr>
<tr>
<td>• мощность электродвигателя:</td>
<td>0,8-1,1кВт</td>
<td>0,8-1,1кВт</td>
<td><strong>0,8-1,1кВт</strong></td>
</tr>
<tr>
<td>• вес:</td>
<td>190 кг.</td>
<td>230 кг.</td>
<td><strong>290 кг.</strong></td>
</tr>
<tr>
<td>• габаритные размеры (в упаковке):</td>
<td>995х760х950 мм.</td>
<td>995х760х950 мм.</td>
<td><strong>1120х920х1080 мм.</strong></td>
</tr>
<tr>
<td>&nbsp;</td>
<td>&nbsp;</td>
<td>&nbsp;</td>
<td>&nbsp;</td>
</tr>
<tr>
<td><strong>Комплектация:</strong></td>
<td>&nbsp;</td>
<td>&nbsp;</td>
<td>&nbsp;</td>
</tr>
<tr>
<td colspan=""2"">• блок подготовки воздуха</td>
<td>&nbsp;</td>
<td>&nbsp;</td>
</tr>
<tr>
<td colspan=""2"">• монтажная лопатка</td>
<td>&nbsp;</td>
<td>&nbsp;</td>
</tr>
<tr>
<td colspan=""2"">• пистолет для подкачки шин с манометром</td>
<td>&nbsp;</td>
<td>&nbsp;</td>
</tr>
<tr>
<td colspan=""2"">• пластиковые накладки на кулачки стола</td>
<td>&nbsp;</td>
<td>&nbsp;</td>
</tr>
<tr>
<td colspan=""2"">• пластиковая насадка на отжимное устройство</td>
<td>&nbsp;</td>
<td>&nbsp;</td>
</tr>
<tr>
<td colspan=""2"">• пластиковая вставка в рабочую головку</td>
<td>&nbsp;</td>
<td>&nbsp;</td>
</tr>
<tr>
<td colspan=""2"">• пластиковая накладка на монтировку</td>
<td>&nbsp;</td>
<td>&nbsp;</td>
</tr>
<tr>
<td>&nbsp;</td>
<td>&nbsp;</td>
<td>&nbsp;</td>
<td>&nbsp;</td>
</tr>
<tr>
<td colspan=""4""><strong>Опции:</strong></td>
</tr>
<tr>
<td colspan=""4"">H647 - Assistant H Устройство для работы с низкопрофильными шинами ""3-я рука""</td>
</tr>
<tr>
<td colspan=""4"">H929 - Пластиковая вставка в рабочую головку (10 шт.)&nbsp;</td>
</tr>
<tr>
<td colspan=""4"">H930 - Пластиковые вставки на кулачки рабочего стола для внешнего зажима колёс (10 шт.)&nbsp;</td>
</tr>
<tr>
<td colspan=""4"">H931 - Пластиковые накладки на кулачки рабочего стола (8 шт.)&nbsp;</td>
</tr>
<tr>
<td colspan=""4"">H932 - Пластиковая насадка монтировку (2 шт.)&nbsp;</td>
</tr>
<tr>
<td colspan=""4"">H933 - Пластиковая насадка на отжимное устройство (4 шт.)&nbsp;</td>
</tr>
<tr>
<td colspan=""4"">H915 - Комплект зажимов для работы с мотоциклетными дисками 6""-23""&nbsp;</td>
</tr>
</tbody>
</table>";WERTHER;Италия;;;;1549956972,1421.jpg;;;;;;;;;
74;"WERTHER ASSISTANT H Устройство для низкопрофильных шин (3-я рука). Для TITANIUM200/22 - TITANIUM300/24IT";;"Шиномонтажное оборудование;Шиномонтажное оборудование:Шиномонтажные станки;Шиномонтажное оборудование:Дополнительно";;0;0;Евро;H647;штука;0.0000;1;0;0;0;0;"<p>Устройство для работы с низкопрофильными шинами ""3-я рука""</p>";"<p><span style=""text-decoration: underline;"">ТОЛЬКО для станков: TITANIUM 200/22 и TITANIUM 300/24IT</span></p>";WERTHER;Италия;;;;1549956972,0813.jpg;;;;;;;;;
268;"WERTHER TITANIUM3000 Шиномонтажный стенд 14""-46"" для колес грузовых автомобилей.";;"Шиномонтажное оборудование;Шиномонтажное оборудование:Шиномонтажные станки";;0;0;Евро;"TITANIUM 3000";штука;0.0000;1;0;0;0;0;"<p><strong>Шиномонтажный станок для грузовых автомобилей, 14""-46""&nbsp;</strong></p>";"<table border=""0"" cellspacing=""0"" cellpadding=""0"">
<tbody>
<tr>
<td><strong>Технические характеристики:</strong></td>
<td><strong>TITANIUM 3000&nbsp;</strong></td>
<td>TITANIUM 2000</td>
</tr>
<tr>
<td>• диапазон зажима:&nbsp;</td>
<td>14""-46""&nbsp;</td>
<td>14""-46""&nbsp;</td>
</tr>
<tr>
<td>• макс. диаметр колеса:&nbsp;</td>
<td>2400 мм. (94"")</td>
<td>2300 мм. (90"")</td>
</tr>
<tr>
<td>• макс. ширина колеса:&nbsp;</td>
<td>1300 мм. (51"")</td>
<td>1065 мм. (41"")</td>
</tr>
<tr>
<td>• макс. вес колеса:&nbsp;</td>
<td>1580 кг.</td>
<td>1500 кг.</td>
</tr>
<tr>
<td>• электродвигатель гидростанции:&nbsp;</td>
<td>2,2 кВт&nbsp;</td>
<td>1,1 кВт&nbsp;</td>
</tr>
<tr>
<td>• электродвигатель редуктора:&nbsp;</td>
<td>2,6 - 3,2 кВт&nbsp;</td>
<td>1,3 - 1,8 кВт&nbsp;</td>
</tr>
<tr>
<td>• рабочее давление в гидростанции:&nbsp;</td>
<td>0 - 130 bar.</td>
<td>0 - 130 bar.</td>
</tr>
<tr>
<td>• усилие отжима:&nbsp;</td>
<td>2690&nbsp; кг.</td>
<td>2690 / 1630 кг.</td>
</tr>
<tr>
<td>• электропитание:&nbsp;</td>
<td>380В / 50Гц</td>
<td>380В / 50Гц</td>
</tr>
<tr>
<td>&nbsp;</td>
<td>&nbsp;</td>
<td>&nbsp;</td>
</tr>
<tr>
<td><strong>Опции:</strong></td>
<td>&nbsp;</td>
<td>&nbsp;</td>
</tr>
<tr>
<td colspan=""3"">H904 – Ролик для бескамерных шин</td>
</tr>
<tr>
<td colspan=""3"">H992 – Зажим для легкосплавных дисков</td>
</tr>
<tr>
<td colspan=""3"">H993 – Комплект насадок для работы с алюминиевыми дисками</td>
</tr>
<tr>
<td colspan=""3"">H924 – Комплект (4 шт.) для увеличения захвата до 56""&nbsp;</td>
</tr>
</tbody>
</table>";WERTHER;Италия;;;;1549956972,0964.jpg;Красный;;;;;;;;
2100;"Стенд шиномонтажный (10-21 дюймов) 380В Полуавтомат";;"Шиномонтажное оборудование;Шиномонтажное оборудование:Шиномонтажные станки";;0;0;Рубли;TECO-22;штука;1.0000;0;0;0;0;0;;"<table style=""height: 170px;"" width=""384"">
<tbody>
<tr>
<td colspan=""2""><strong>TECO 22 - технические характеристики</strong></td>
</tr>
<tr>
<td>Размеры диска, внешний зажим</td>
<td>10-18""</td>
</tr>
<tr>
<td>Размеры диска, внутренний зажим</td>
<td>13-21""</td>
</tr>
<tr>
<td>Максимальный диаметр колеса</td>
<td>1000 мм</td>
</tr>
<tr>
<td>Максимальная ширина колеса</td>
<td>320 мм</td>
</tr>
<tr>
<td>Напряжение</td>
<td>380 В</td>
</tr>
<tr>
<td>Рабочее давление</td>
<td>130 бар</td>
</tr>
<tr>
<td>Отжимное усилие</td>
<td>2800 кг</td>
</tr>
<tr>
<td>Уровень шума</td>
<td>70 дб</td>
</tr>
<tr>
<td>Габариты в упаковке</td>
<td>1825х940х1025 мм</td>
</tr>
<tr>
<td>Вес в упаковке</td>
<td>150 кг</td>
</tr>
</tbody>
</table>";TECO;Италия;;;;1529637942.6693.jpg;"Синий;Красный";;;;;;;;
2101;"Стенд шиномонтажный (10-21 дюймов) 380В Полуавтомат";;"Шиномонтажное оборудование;Шиномонтажное оборудование:Шиномонтажные станки";;0;0;Рубли;"TECO-22 C";штука;1.0000;0;0;0;0;0;;"<table style=""height: 170px;"" width=""384"">
<tbody>
<tr>
<td colspan=""2""><strong>TECO 22 - технические характеристики</strong></td>
</tr>
<tr>
<td>Размеры диска, внешний зажим</td>
<td>10-18""</td>
</tr>
<tr>
<td>Размеры диска, внутренний зажим</td>
<td>13-21""</td>
</tr>
<tr>
<td>Максимальный диаметр колеса</td>
<td>1000 мм</td>
</tr>
<tr>
<td>Максимальная ширина колеса</td>
<td>320 мм</td>
</tr>
<tr>
<td>Напряжение</td>
<td>380 В</td>
</tr>
<tr>
<td>Рабочее давление</td>
<td>130 бар</td>
</tr>
<tr>
<td>Отжимное усилие</td>
<td>2800 кг</td>
</tr>
<tr>
<td>Уровень шума</td>
<td>70 дб</td>
</tr>
<tr>
<td>Габариты в упаковке</td>
<td>1825х940х1025 мм</td>
</tr>
<tr>
<td>Вес в упаковке</td>
<td>150 кг</td>
</tr>
</tbody>
</table>";TECO;Италия;;;;1529637942.6857.jpg;;;;;;;;;
2102;"Стенд шиномонтажный (10-23 дюймов) 380В  Полуавтомат";;"Шиномонтажное оборудование;Шиномонтажное оборудование:Шиномонтажные станки";;0;0;Рубли;"TECO-23 C";штука;1.0000;0;0;0;0;0;;"<table style=""height: 170px;"" width=""384"">
<tbody>
<tr>
<td colspan=""2""><strong>TECO 23 - технические характеристики</strong></td>
</tr>
<tr>
<td>Размеры диска, внешний зажим</td>
<td>10-18""</td>
</tr>
<tr>
<td>Размеры диска, внутренний зажим</td>
<td>13-23""</td>
</tr>
<tr>
<td>Максимальный диаметр колеса</td>
<td>1000 мм</td>
</tr>
<tr>
<td>Максимальная ширина колеса</td>
<td>320 мм</td>
</tr>
<tr>
<td>Напряжение</td>
<td>380 В</td>
</tr>
<tr>
<td>Рабочее давление</td>
<td>8-10 бар</td>
</tr>
<tr>
<td>Отжимное усилие</td>
<td>2800 кг</td>
</tr>
<tr>
<td>Уровень шума</td>
<td>70 дб</td>
</tr>
<tr>
<td>Габариты в упаковке</td>
<td>1825х940х1120 мм</td>
</tr>
<tr>
<td>Вес в упаковке</td>
<td>163 кг</td>
</tr>
</tbody>
</table>";TECO;Италия;;;;1529637942.7002.jpg;;;;;;;;;
